DDInterID_A,Drug_A,DDInterID_B,Drug_B,Drug_1,Drug_2,Level
DDInter975,Iron,DDInter582,Dolutegravir,Dolutegravir,Iron,Major
DDInter582,Dolutegravir,DDInter725,Ferrous fumarate,Dolutegravir,Ferrous fumarate,Major
DDInter582,Dolutegravir,DDInter726,Ferrous gluconate,Dolutegravir,Ferrous gluconate,Major
DDInter582,Dolutegravir,DDInter1114,Magnesium chloride,Dolutegravir,Magnesium chloride,Major
DDInter582,Dolutegravir,DDInter1115,Magnesium citrate,Dolutegravir,Magnesium citrate,Major
DDInter1120,Magnesium sulfate,DDInter582,Dolutegravir,Dolutegravir,Magnesium sulfate,Major
DDInter1019,Lamivudine,DDInter1123,Mannitol,Lamivudine,Mannitol,Moderate
DDInter1683,Sodium bicarbonate,DDInter582,Dolutegravir,Dolutegravir,Sodium bicarbonate,Major
DDInter1019,Lamivudine,DDInter1703,Sorbitol,Lamivudine,Sorbitol,Moderate
DDInter1802,Ticagrelor,DDInter582,Dolutegravir,Dolutegravir,Ticagrelor,Minor
DDInter108,Apixaban,DDInter3,Abametapir (topical),Abametapir (topical),Apixaban,Moderate
DDInter379,Cilostazol,DDInter3,Abametapir (topical),Abametapir (topical),Cilostazol,Moderate
DDInter1609,Rivaroxaban,DDInter3,Abametapir (topical),Abametapir (topical),Rivaroxaban,Moderate
DDInter1656,Selexipag,DDInter3,Abametapir (topical),Abametapir (topical),Selexipag,Moderate
DDInter1802,Ticagrelor,DDInter3,Abametapir (topical),Abametapir (topical),Ticagrelor,Moderate
DDInter1945,Vorapaxar,DDInter3,Abametapir (topical),Abametapir (topical),Vorapaxar,Moderate
DDInter1951,Warfarin,DDInter3,Abametapir (topical),Abametapir (topical),Warfarin,Moderate
DDInter5,Abatacept,DDInter1964,Zinc chloride,Abatacept,Zinc chloride,Minor
DDInter6,Abciximab,DDInter9,Acalabrutinib,Abciximab,Acalabrutinib,Major
DDInter6,Abciximab,DDInter1848,Trastuzumab emtansine,Abciximab,Trastuzumab emtansine,Major
DDInter56,Alteplase,DDInter6,Abciximab,Abciximab,Alteplase,Major
DDInter6,Abciximab,DDInter93,Anagrelide,Abciximab,Anagrelide,Major
DDInter6,Abciximab,DDInter98,Anisindione,Abciximab,Anisindione,Major
