ddinter_drug_name,rxcui,rxnorm_name,tty,mapping_method,mapping_status
Abametapir (topical),2618846,abametapir Topical Product,SCDG,approximate,matched
Abarelix,301739,abarelix,IN,exact_or_normalized,matched
Abatacept,614391,abatacept,IN,exact_or_normalized,matched
Abciximab,83929,abciximab,IN,exact_or_normalized,matched
Abemaciclib,1946825,abemaciclib,IN,exact_or_normalized,matched
Abiraterone,1100072,abiraterone,IN,exact_or_normalized,matched
Acalabrutinib,1986808,acalabrutinib,IN,exact_or_normalized,matched
Acarbose,16681,acarbose,IN,exact_or_normalized,matched
Acebutolol,149,acebutolol,IN,exact_or_normalized,matched
Acetaminophen,161,acetaminophen,IN,exact_or_normalized,matched
Acetazolamide,167,acetazolamide,IN,exact_or_normalized,matched
Acetohexamide,173,acetohexamide,IN,exact_or_normalized,matched
Acetylsalicylic acid,1191,aspirin,IN,exact_or_normalized,matched
Acrivastine,19959,acrivastine,IN,exact_or_normalized,matched
Activated charcoal,272,activated charcoal,IN,exact_or_normalized,matched
Adalimumab,327361,adalimumab,IN,exact_or_normalized,matched
Adenosine,296,adenosine,IN,exact_or_normalized,matched
Afatinib,1430438,afatinib,IN,exact_or_normalized,matched
Albendazole,430,albendazole,IN,exact_or_normalized,matched
Albiglutide,1534763,albiglutide,IN,exact_or_normalized,matched
Aldesleukin,70223,aldesleukin,IN,exact_or_normalized,matched
Alefacept,299635,alefacept,IN,exact_or_normalized,matched
Alemtuzumab,117055,alemtuzumab,IN,exact_or_normalized,matched
Alendronic acid,236083,alendronic acid,PIN,exact_or_normalized,matched
Alfentanil,480,alfentanil,IN,exact_or_normalized,matched
Alfuzosin,17300,alfuzosin,IN,exact_or_normalized,matched
Alimemazine,10825,trimeprazine,IN,exact_or_normalized,matched
Aliskiren,325646,aliskiren,IN,exact_or_normalized,matched
Allopurinol,519,allopurinol,IN,exact_or_normalized,matched
Almotriptan,279645,almotriptan,IN,exact_or_normalized,matched
Alogliptin,1368001,alogliptin,IN,exact_or_normalized,matched
Alosetron,85248,alosetron,IN,exact_or_normalized,matched
Alpelisib,2169285,alpelisib,IN,exact_or_normalized,matched
Alprazolam,596,alprazolam,IN,exact_or_normalized,matched
Alprostadil,598,alprostadil,IN,exact_or_normalized,matched
Alteplase,8410,alteplase,IN,exact_or_normalized,matched
Aluminum hydroxide,612,aluminum hydroxide,IN,exact_or_normalized,matched
Alvimopan,480639,alvimopan,IN,exact_or_normalized,matched
Ambrisentan,358274,ambrisentan,IN,exact_or_normalized,matched
Amifostine,4126,amifostine,IN,exact_or_normalized,matched
Amikacin,641,amikacin,IN,exact_or_normalized,matched
Amikacin (liposome),2059179,"amikacin sulfate, liposomal",PIN,exact_or_normalized,matched
Amiloride,644,amiloride,IN,exact_or_normalized,matched
Aminobenzoic acid,74,4-aminobenzoic acid,IN,exact_or_normalized,matched
Aminocaproic acid,99,6-aminocaproic acid,IN,exact_or_normalized,matched
Aminoglutethimide,677,aminoglutethimide,IN,exact_or_normalized,matched
Aminolevulinic acid (topical),1151949,aminolevulinic acid Topical Product,SCDG,exact_or_normalized,matched
Aminophylline,689,aminophylline,IN,exact_or_normalized,matched
Aminosalicylic acid,7833,aminosalicylic acid,IN,exact_or_normalized,matched
Amiodarone,703,amiodarone,IN,exact_or_normalized,matched
Amisulpride,46303,amisulpride,IN,exact_or_normalized,matched
Amitriptyline,704,amitriptyline,IN,exact_or_normalized,matched
Amlodipine,17767,amlodipine,IN,exact_or_normalized,matched
Ammonium chloride,712,ammonium chloride,IN,exact_or_normalized,matched
Amobarbital,719,amobarbital,IN,exact_or_normalized,matched
Amoxapine,722,amoxapine,IN,exact_or_normalized,matched
Amoxicillin,723,amoxicillin,IN,exact_or_normalized,matched
Amphetamine,725,amphetamine,IN,exact_or_normalized,matched
Amphotericin B,732,amphotericin B,IN,exact_or_normalized,matched
Amphotericin B (cholesteryl sulfate),101299,amphotericin B colloidal dispersion,PIN,exact_or_normalized,matched
Amphotericin B (lipid complex),2001759,amphotericin B lipid complex,PIN,exact_or_normalized,matched
Amphotericin B (liposomal),236594,amphotericin B liposomal,PIN,exact_or_normalized,matched
Ampicillin,733,ampicillin,IN,exact_or_normalized,matched
Amprenavir,228656,amprenavir,IN,exact_or_normalized,matched
Amyl Nitrite,742,amyl nitrite,IN,exact_or_normalized,matched
Anagrelide,596724,anagrelide,IN,exact_or_normalized,matched
Anakinra,72435,anakinra,IN,exact_or_normalized,matched
Anastrozole,84857,anastrozole,IN,exact_or_normalized,matched
Anisindione,17941,anisindione,IN,exact_or_normalized,matched
Anistreplase,40028,anistreplase,IN,exact_or_normalized,matched
Anti-inhibitor coagulant complex,314504,anti-inhibitor coagulant complex,IN,exact_or_normalized,matched
"Antihemophilic factor, human recombinant",1300486,"antihemophilic factor, human recombinant",PIN,exact_or_normalized,matched
Antilymphocyte immunoglobulin (horse),91601,"lymphocyte immune globulin, anti-thymocyte globulin, equine",PIN,exact_or_normalized,matched
Antithrombin Alfa,1427179,antithrombin alfa,PIN,exact_or_normalized,matched
Antithrombin III human,221062,"antithrombin III, human",PIN,exact_or_normalized,matched
Antithymocyte immunoglobulin (rabbit),107044,rabbit anti-human T-lymphocyte globulin,PIN,exact_or_normalized,matched
Apalutamide,1999574,apalutamide,IN,exact_or_normalized,matched
Apixaban,1364430,apixaban,IN,exact_or_normalized,matched
Apomorphine,1043,apomorphine,IN,exact_or_normalized,matched
Apraclonidine,14845,apraclonidine,IN,exact_or_normalized,matched
Apremilast,1492727,apremilast,IN,exact_or_normalized,matched
Aprepitant,358255,aprepitant,IN,exact_or_normalized,matched
Aprotinin,1056,aprotinin,IN,exact_or_normalized,matched
Ardeparin,87866,ardeparin,IN,exact_or_normalized,matched
Arformoterol,304962,arformoterol,IN,exact_or_normalized,matched
Argatroban,15202,argatroban,IN,exact_or_normalized,matched
Aripiprazole,89013,aripiprazole,IN,exact_or_normalized,matched
Armodafinil,641465,armodafinil,IN,exact_or_normalized,matched
Arsenic trioxide,18330,arsenic trioxide,IN,exact_or_normalized,matched
Artemether,18343,artemether,IN,exact_or_normalized,matched
Artesunate,18346,artesunate,IN,exact_or_normalized,matched
Articaine,592464,articaine,IN,exact_or_normalized,matched
Ascorbic acid,1151,ascorbic acid,IN,exact_or_normalized,matched
Asenapine,784649,asenapine,IN,exact_or_normalized,matched
Asparaginase Erwinia chrysanthemi,1431738,asparaginase Erwinia chrysanthemi,PIN,exact_or_normalized,matched
Asparaginase Escherichia coli,350202,Escherichia coli,IN,approximate,matched
Astemizole,42328,astemizole,IN,exact_or_normalized,matched
Atazanavir,343047,atazanavir,IN,exact_or_normalized,matched
Atenolol,1202,atenolol,IN,exact_or_normalized,matched
Atomoxetine,38400,atomoxetine,IN,exact_or_normalized,matched
Atorvastatin,83367,atorvastatin,IN,exact_or_normalized,matched
Atracurium,1218,atracurium,IN,exact_or_normalized,matched
Atropine,1223,atropine,IN,exact_or_normalized,matched
Attapulgite,18516,attapulgite,IN,exact_or_normalized,matched
Avanafil,1291301,avanafil,IN,exact_or_normalized,matched
Avapritinib,2272107,avapritinib,IN,exact_or_normalized,matched
Avatrombopag,2045726,avatrombopag,IN,exact_or_normalized,matched
Axitinib,1242999,axitinib,IN,exact_or_normalized,matched
Azatadine,18600,azatadine,IN,exact_or_normalized,matched
Azathioprine,1256,azathioprine,IN,exact_or_normalized,matched
Azilsartan medoxomil,1091642,azilsartan medoxomil,PIN,exact_or_normalized,matched
Azithromycin,18631,azithromycin,IN,exact_or_normalized,matched
Aztreonam,1272,aztreonam,IN,exact_or_normalized,matched
Bacampicillin,18687,bacampicillin,IN,exact_or_normalized,matched
